listing_id,total_bookings,total_duration,avg_duration,min_duration,max_duration,num_of_short_stays,num_of_long_stays
21853.0,33,48,1.4545454545454546,1,4,33,0
27262.0,29,144,4.9655172413793105,2,7,29,0
30320.0,172,360,2.0930232558139537,1,4,172,0
30959.0,8,12,1.5,1,3,8,0
33945.0,78,540,6.923076923076923,3,10,54,24
40916.0,49,107,2.183673469387755,1,5,49,0
49489.0,140,289,2.0642857142857145,1,5,140,0
60394.0,34,331,9.735294117647058,5,13,2,32
62423.0,227,1336,5.88546255506608,2,9,211,16
70059.0,61,409,6.704918032786885,2,9,46,15
70310.0,29,203,7.0,5,8,21,8
72150.0,126,246,1.9523809523809523,1,4,126,0
82481.0,105,197,1.8761904761904762,1,5,105,0
84719.0,184,1263,6.864130434782608,2,10,133,51
86042.0,222,645,2.9054054054054053,1,6,222,0
100411.0,3,5,1.6666666666666667,1,2,3,0
114854.0,183,1306,7.136612021857924,2,10,104,79
133835.0,27,189,7.0,4,9,18,9
134340.0,56,391,6.982142857142857,3,9,40,16
136058.0,97,193,1.9896907216494846,1,5,97,0
154243.0,215,1485,6.906976744186046,2,10,150,65
155654.0,65,448,6.892307692307693,4,9,42,23
163429.0,8,16,2.0,1,4,8,0
167183.0,45,391,8.688888888888888,3,11,5,40
196197.0,468,3170,6.773504273504273,2,10,332,136
198296.0,82,324,3.951219512195122,2,6,82,0
199016.0,58,445,7.672413793103448,2,10,23,35
199201.0,209,816,3.9043062200956937,1,7,209,0
204570.0,105,307,2.9238095238095236,1,5,105,0
205199.0,361,2839,7.864265927977839,2,11,124,237
211444.0,221,1935,8.755656108597286,2,12,24,197
221017.0,60,123,2.05,1,4,60,0
225489.0,30,46,1.5333333333333334,1,3,30,0
229664.0,553,3787,6.848101265822785,2,10,401,152
233011.0,73,512,7.013698630136986,4,9,45,28
256004.0,214,293,1.3691588785046729,1,4,214,0
258713.0,77,368,4.779220779220779,3,8,76,1
260951.0,142,559,3.936619718309859,1,6,142,0
261878.0,661,3286,4.97125567322239,2,8,656,5
263748.0,153,628,4.104575163398692,2,6,153,0
270611.0,46,313,6.804347826086956,2,9,34,12
270954.0,25,103,4.12,2,6,25,0
270973.0,31,145,4.67741935483871,2,6,31,0
272279.0,243,959,3.9465020576131686,1,7,243,0
280733.0,70,256,3.657142857142857,2,6,70,0
281224.0,136,276,2.0294117647058822,1,4,136,0
287660.0,11,16,1.4545454545454546,1,2,11,0
289555.0,191,275,1.4397905759162304,1,4,191,0
306234.0,690,3416,4.95072463768116,1,8,685,5
308157.0,2,14,7.0,5,9,1,1
310333.0,181,1541,8.513812154696133,2,11,28,153
336672.0,198,399,2.015151515151515,1,6,198,0
336834.0,62,420,6.774193548387097,2,9,46,16
339144.0,148,738,4.986486486486487,2,8,147,1
339171.0,207,1029,4.971014492753623,2,7,207,0
